,HR,R,RBI,SB,W,SOLD,SO
"Johan Rojas (PHI)",4,37,24,16,0,0,0
"Andrew Benintendi (CHW)",10,67,55,12,0,0,0
"Bryan Abreu (HOU)",0,0,0,0,3,20,85
"Dane Dunning (TEX)",0,0,0,0,9,0,131
"Wilmer Flores (SFG)",14,43,48,0,0,0,0
"Steven Matz (STL)",0,0,0,0,8,1,116
"Yoan Moncada (CHW)",19,64,64,2,0,0,0
"Aroldis Chapman (PIT)",0,0,0,0,4,20,84
"Brett Baty (NYM)",11,46,45,3,0,0,0
"Andrew Heaney (TEX)",0,0,0,0,7,0,128
"Gary Sanchez (MIL)",14,31,41,0,0,0,0
"Hunter Renfroe (KCR)",19,55,64,1,0,0,0
"Garrett Whitlock (BOS)",0,0,0,0,7,6,107
"Kyle Manzardo (CLE)",12,43,52,1,0,0,0
"Justin Lawrence (COL)",0,0,0,0,3,24,65
"Jose Caballero (TBR)",6,35,24,16,0,0,0
"Brenton Doyle (COL)",14,60,47,18,0,0,0
"Brandon Marsh (PHI)",12,61,50,13,0,0,0
"Wilyer Abreu (BOS)",11,46,41,8,0,0,0
"Orion Kerkering (PHI)",0,0,0,0,3,12,61
"Javier Baez (DET)",14,63,59,14,0,0,0
"Chris Taylor (LAD)",15,54,48,10,0,0,0
"JP Sears (OAK)",0,0,0,0,8,0,147
"Josiah Gray (WSN)",0,0,0,0,8,0,147
"LaMonte Wade Jr. (SFG)",16,57,53,3,0,0,0
"Garrett Mitchell (MIL)",10,46,37,13,0,0,0
"Mitch Haniger (SEA)",19,52,59,1,0,0,0
"Travis d'Arnaud (ATL)",10,39,41,0,0,0,0
"Pete Crow-Armstrong ()",7,34,28,11,0,0,0
"Nolan Schanuel (LAA)",7,59,44,3,0,0,0
"Michael Massey (KCR)",14,51,53,7,0,0,0
"Graham Ashcraft (CIN)",0,0,0,0,8,0,112
"Liover Peguero (PIT)",7,46,38,14,0,0,0
"Luis Garcia Jr. (WSN)",9,53,50,9,0,0,0
"Jesus Sanchez (MIA)",16,53,56,3,0,0,0
"AJ Smith-Shawver ()",0,0,0,0,4,1,61
"Tanner Houck (BOS)",0,0,0,0,8,1,122
"Joe Boyle (OAK)",0,0,0,0,6,1,115
"Ryan O'Hearn (BAL)",14,46,50,4,0,0,0
"Jose Quintana (NYM)",0,0,0,0,8,0,127
"Aaron Ashby (MIL)",0,0,0,0,4,1,84
"Max Meyer ()",0,0,0,0,4,0,70
"Brusdar Graterol (LAD)",0,0,0,0,3,20,50
"Mickey Moniak (LAA)",15,46,46,6,0,0,0
"Freddy Fermin (KCR)",6,22,24,0,0,0,0
"Hector Neris (CHC)",0,0,0,0,4,22,73
"Jasson Dominguez (NYY)",6,24,20,7,0,0,0
"Joc Pederson (ARI)",19,57,64,2,0,0,0
"Miles Mikolas (STL)",0,0,0,0,10,0,125
"John Brebbia (CHW)",0,0,0,0,3,24,58
"Carlos Santana (MIN)",14,53,53,2,0,0,0
