Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Mike Trout,LAA,Mike Trout (LAA),21,58,60,2,0.366,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Trent Grisham,NYY,Trent Grisham (NYY),19,68,61,13,0.321,0,0,0,0,0,0,360.92,347,347,0,0,0,0,0,0,1,1,0
Yandy Díaz,TBR,Yandy Diaz (TBR),15,72,65,1,0.376,0,0,0,0,0,0,134.93,99,184,0,1,0,0,0,1,0,1,0
Chas McCormick,HOU,Chas McCormick (HOU),18,59,65,12,0.333,0,0,0,0,0,0,149.9,102,182,0,0,0,0,0,0,1,1,0
Steven Kwan,CLE,Steven Kwan (CLE),5,87,60,18,0.346,0,0,0,0,0,0,213.61,133,291,0,0,0,0,0,0,1,1,0
Jackson Holliday,BAL,Jackson Holliday (BAL),11,86,70,12,0.341,0,0,0,0,0,0,185.07,99,340,0,0,0,0,1,1,0,1,0
Byron Buxton,MIN,Byron Buxton (MIN),21,56,53,8,0.31,0,0,0,0,0,0,195.03,101,279,0,0,0,0,0,0,0,1,0
Brandon Lowe,TBR,Brandon Lowe (TBR),24,67,73,6,0.326,0,0,0,0,0,0,282.95,210,360,0,0,1,0,0,1,0,1,0
Gabriel Moreno,ARI,Gabriel Moreno (ARI),8,39,44,4,0.334,0,0,0,0,0,0,161.74,129,221,1,0,0,0,0,0,0,1,0
George Springer,TOR,George Springer (TOR),21,77,72,12,0.328,0,0,0,0,0,0,121.22,75,147,0,0,0,0,0,0,1,1,0
Willson Contreras,STL,Willson Contreras (STL),18,57,63,4,0.339,0,0,0,0,0,0,142.59,111,167,1,0,0,0,0,0,0,1,0
Pete Alonso,NYM,Pete Alonso (NYM),37,85,111,4,0.337,0,0,0,0,0,0,24.84,15,35,0,1,0,0,0,1,0,1,0
Evan Carter,TEX,Evan Carter (TEX),15,79,79,19,0.358,0,0,0,0,0,0,107.21,66,193,0,0,0,0,0,0,1,1,0
