Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Mason Miller,OAK,Mason Miller (OAK),0,0,0,0,0,3,17,8,79,1.16,3.34,194.52,124,304,0,0,0,0,0,0,0,0,1
Jhoan Duran,MIN,Jhoan Duran (MIN),0,0,0,0,0,2,23,2,59,1.16,2.83,98.89,37,210,0,0,0,0,0,0,0,0,1
Evan Phillips,LAD,Evan Phillips (LAD),0,0,0,0,0,4,30,3,71,1.1,3.18,79.22,51,114,0,0,0,0,0,0,0,0,1
Randy Vásquez,SDP,Randy Vasquez (SDP),0,0,0,0,0,4,0,1,63,1.34,4.1,360.87,338,338,0,0,0,0,0,0,0,0,1
Giovanny Gallegos,STL,Giovanny Gallegos (STL),0,0,0,0,0,3,7,16,67,1.17,3.92,360.79,347,355,0,0,0,0,0,0,0,0,1
Robert Stephenson,LAA,Robert Stephenson (LAA),0,0,0,0,0,3,10,12,67,1.12,3.82,336.12,235,360,0,0,0,0,0,0,0,0,1
Julian Merryweather,CHC,Julian Merryweather (CHC),0,0,0,0,0,3,3,16,79,1.27,3.85,360.88,350,360,0,0,0,0,0,0,0,0,1
John Schreiber,KCR,John Schreiber (KCR),0,0,0,0,0,3,3,13,63,1.27,3.72,360.96,354,354,0,0,0,0,0,0,0,0,1
Brock Stewart,MIN,Brock Stewart (MIN),0,0,0,0,0,3,2,14,72,1.25,3.53,350.45,267,360,0,0,0,0,0,0,0,0,1
Jordan Romano,TOR,Jordan Romano (TOR),0,0,0,0,0,4,27,2,63,1.19,3.38,104.91,59,215,0,0,0,0,0,0,0,0,1
Zack Thompson,STL,Zack Thompson (STL),0,0,0,0,0,4,0,1,63,1.37,4.25,360.93,349,349,0,0,0,0,0,0,0,0,1
Joel Payamps,MIL,Joel Payamps (MIL),0,0,0,0,0,4,11,14,66,1.23,3.72,290.26,181,360,0,0,0,0,0,0,0,0,1
Erik Swanson,TOR,Erik Swanson (TOR),0,0,0,0,0,3,5,13,60,1.16,3.56,360.26,305,358,0,0,0,0,0,0,0,0,1
David Robertson,TEX,David Robertson (TEX),0,0,0,0,0,3,8,13,68,1.29,3.86,328.39,214,359,0,0,0,0,0,0,0,0,1
